Fold,Model,A,B,C,D,E,F,G,H,I,J,K,L,M,N,O,P,Q,R,S,T,U,V,W,X,Y,Z,Fold_Model_Avg
1,SVM,0.8571,0.8,0.9091,0.5,0.25,0.6,1.0,1.0,1.0,0.8889,0.8333,0.8,0.8,0.5,1.0,0.8333,0.0,0.3333,0.625,0.8,0.8,1.0,1.0,0.8571,0.7143,1.0,0.7577
1,Decision Tree,0.4286,0.8,0.7273,0.4,0.25,0.6,1.0,1.0,1.0,0.6667,0.6667,0.8,0.8,0.5,0.0,0.8333,1.0,0.0,0.75,0.6,0.6,1.0,0.6,0.7143,0.4286,0.0,0.6218
1,Random Forest,0.8571,0.9,1.0,0.6,0.25,0.6,1.0,1.0,1.0,1.0,0.8333,1.0,1.0,0.5,1.0,0.8333,0.0,0.6667,0.875,1.0,0.6,1.0,1.0,0.7143,0.4286,1.0,0.7945
1,Logistic Regression,0.7143,0.7,0.9091,0.5,0.25,0.6,1.0,1.0,1.0,0.7778,0.8333,0.6,1.0,0.5,0.0,0.8333,0.0,0.3333,0.5,0.8,0.8,1.0,1.0,0.8571,0.7143,1.0,0.7009
1,KNN,0.8571,0.9,0.9091,0.5,0.0,0.8,1.0,1.0,0.75,0.8889,1.0,1.0,0.8,0.375,1.0,0.6667,0.0,0.3333,0.75,0.8,0.4,1.0,1.0,0.8571,0.7143,1.0,0.7424
1,Gradient Boosting,0.5714,0.9,0.8182,0.6,0.25,0.8,0.5,1.0,1.0,1.0,0.8333,0.6,0.8,0.75,1.0,1.0,0.0,0.6667,0.75,0.8,0.6,1.0,0.8,0.8571,0.5714,1.0,0.7488
1,MLP Neural Network,0.7143,0.8,0.9091,0.5,0.75,0.6,1.0,1.0,1.0,0.7778,0.8333,0.8,1.0,0.625,0.0,1.0,0.0,0.3333,0.75,0.6,0.8,1.0,0.8,0.8571,0.5714,0.0,0.6931
1,MLP (PyTorch),0.5714,0.5,0.8182,0.4,0.0,0.2,1.0,1.0,0.0,0.8889,0.6667,0.8,1.0,0.25,0.0,0.8333,0.0,0.3333,0.5,0.8,0.8,1.0,1.0,0.7143,0.7143,0.0,0.5689
1,CNN (PyTorch),0.5714,0.7,0.8182,0.7,0.25,0.6,1.0,1.0,1.0,0.7778,0.6667,0.6,1.0,0.5,0.0,0.8333,0.0,0.3333,0.75,0.8,0.8,1.0,1.0,0.7143,0.7143,1.0,0.6973
1,Fold_1_Avg,0.6825,0.7778,0.8687,0.5222,0.25,0.6,0.9444,1.0,0.8611,0.8519,0.7963,0.7778,0.9111,0.5,0.4444,0.8518,0.1111,0.3704,0.6944,0.7778,0.6889,1.0,0.9111,0.7936,0.6191,0.6667,0.7028
2,SVM,1.0,0.875,1.0,0.5,0.3333,0.5,0.6,1.0,,0.8571,0.1667,0.75,0.75,1.0,0.3333,0.6,0.3333,0.625,0.7143,1.0,0.5,1.0,0.8333,0.8333,0.875,0.8333,0.7125
2,Decision Tree,0.75,0.375,0.75,0.1667,0.3333,0.5,0.2,0.875,,0.5714,0.5,1.0,0.75,0.6667,0.6667,0.6,0.6667,0.625,0.4286,0.6667,0.25,0.8,0.5,0.6667,0.375,0.5,0.5673
2,Random Forest,1.0,1.0,1.0,0.6667,0.3333,0.5,0.8,1.0,,1.0,0.3333,0.75,0.75,0.8333,0.6667,0.8,0.3333,0.625,0.7143,1.0,0.75,1.0,0.8333,0.8333,0.75,0.6667,0.7576
2,Logistic Regression,0.9167,0.875,1.0,0.5,0.6667,0.5,0.4,1.0,,1.0,0.3333,0.75,0.75,1.0,0.3333,0.6,0.3333,0.75,0.5714,0.8333,0.5,0.8,0.6667,0.6667,0.75,0.6667,0.6865
2,KNN,1.0,1.0,1.0,0.5,0.3333,0.0,0.6,1.0,,0.8571,0.3333,0.75,0.75,1.0,0.6667,0.8,0.3333,0.375,0.5714,0.8333,0.75,0.8,0.6667,0.8333,0.75,0.6667,0.6868
2,Gradient Boosting,0.75,0.75,1.0,0.6667,0.6667,0.5,0.8,0.875,,1.0,0.5,0.75,1.0,1.0,0.3333,0.6,0.0,0.75,0.7143,0.8333,0.75,0.8,0.3333,0.6667,0.875,0.6667,0.7032
2,MLP Neural Network,0.8333,0.875,1.0,0.5,0.6667,0.5,0.8,1.0,,0.8571,0.6667,0.75,0.75,0.8333,0.6667,0.8,0.3333,0.75,0.7143,0.8333,0.75,0.8,0.5,0.6667,0.875,0.8333,0.7422
2,MLP (PyTorch),0.9167,0.875,1.0,0.5,0.0,0.0,0.6,1.0,,1.0,0.1667,0.75,0.75,1.0,0.3333,0.8,0.0,0.75,0.4286,0.8333,0.5,0.8,0.6667,0.8333,0.625,0.8333,0.6385
2,CNN (PyTorch),0.8333,0.875,1.0,0.5,0.6667,0.5,0.4,1.0,,0.7143,0.3333,0.75,0.75,1.0,0.6667,0.8,0.3333,0.75,0.7143,0.8333,0.75,1.0,0.6667,0.8333,0.625,0.6667,0.7185
2,Fold_2_Avg,0.8889,0.8333,0.9722,0.5,0.4444,0.3889,0.5778,0.9722,,0.873,0.3704,0.7778,0.7778,0.9259,0.5185,0.7111,0.2963,0.6667,0.6191,0.8518,0.6111,0.8667,0.6296,0.7593,0.7222,0.7037,0.6903
3,SVM,0.9167,0.625,0.8,0.6,1.0,1.0,1.0,0.6667,1.0,0.5714,0.5714,0.6,1.0,1.0,0.8,0.9286,0.25,0.3333,0.0,0.8333,1.0,0.75,0.75,0.8,0.8571,1.0,0.7559
3,Decision Tree,0.75,0.5,0.4,0.8,1.0,1.0,1.0,0.5,1.0,0.7143,0.4286,1.0,0.6667,0.5,0.4,0.6429,0.75,0.3333,0.0,0.6667,1.0,0.625,0.5,0.2,0.5714,0.4,0.6288
3,Random Forest,1.0,0.75,0.8,0.6,1.0,1.0,1.0,0.8333,1.0,0.5714,0.5714,1.0,1.0,0.75,0.8,1.0,0.75,0.3333,0.0,0.6667,1.0,0.875,0.75,0.6,0.7143,1.0,0.7833
3,Logistic Regression,0.8333,0.5,0.8,0.4,0.0,1.0,1.0,0.6667,1.0,0.5714,0.5714,1.0,1.0,1.0,0.8,0.8571,0.75,0.0,0.0,0.6667,1.0,0.875,0.75,0.7,0.7143,0.8,0.7022
3,KNN,0.9167,0.75,1.0,0.8,1.0,1.0,1.0,0.6667,0.5,0.5714,0.7143,0.6,1.0,0.75,0.8,0.8571,0.25,0.6667,0.0,0.6667,1.0,0.875,0.75,0.6,0.8571,0.8,0.7458
3,Gradient Boosting,0.9167,0.75,0.6,0.8,0.0,1.0,1.0,0.3333,1.0,0.7143,0.5714,0.8,1.0,1.0,0.4,0.8571,0.5,0.0,0.0,0.6667,1.0,0.75,0.75,0.6,0.8571,0.4,0.6641
3,MLP Neural Network,0.75,0.75,0.8,0.8,1.0,1.0,1.0,0.6667,1.0,0.8571,0.5714,0.8,1.0,0.75,0.8,0.7857,1.0,0.0,0.5,0.6667,1.0,0.75,0.75,0.6,0.8571,0.8,0.7790
3,MLP (PyTorch),1.0,0.625,0.8,0.6,1.0,1.0,1.0,0.8333,1.0,0.4286,0.7143,1.0,1.0,1.0,0.8,0.8571,0.5,0.3333,0.5,0.8333,1.0,0.875,0.75,0.7,0.8571,0.8,0.8003
3,CNN (PyTorch),0.8333,0.625,0.8,0.8,1.0,1.0,1.0,0.8333,1.0,0.7143,0.7143,1.0,1.0,1.0,0.8,0.8571,1.0,0.0,0.0,0.8333,1.0,0.875,0.75,0.6,0.5714,1.0,0.7926
3,Fold_3_Avg,0.8796,0.6528,0.7556,0.6889,0.7778,1.0,1.0,0.6667,0.9444,0.6349,0.6032,0.8667,0.963,0.8611,0.7111,0.8492,0.6389,0.2222,0.1111,0.7222,1.0,0.8056,0.7222,0.6,0.7619,0.7778,0.7391
4,SVM,0.8333,1.0,1.0,0.1429,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.75,0.9,0.75,0.4,0.75,0.2,0.75,0.5714,0.6667,1.0,1.0,0.6667,1.0,0.8333,1.0,0.7390
4,Decision Tree,0.5,0.8333,1.0,0.4286,0.0,1.0,0.5,0.75,0.0,0.1429,0.5,0.75,0.5,0.625,0.4,0.5,0.2,0.75,0.5714,0.6667,1.0,0.5,0.6667,0.8571,0.6667,0.3333,0.5631
4,Random Forest,0.9167,1.0,1.0,0.1429,0.0,1.0,0.8333,1.0,0.0,0.7143,1.0,1.0,1.0,0.625,0.6,0.875,0.4,0.75,0.5714,0.8333,1.0,1.0,0.6667,1.0,0.8333,1.0,0.7601
4,Logistic Regression,0.8333,1.0,1.0,0.4286,0.0,1.0,1.0,1.0,0.0,0.8571,1.0,0.75,0.9,0.5,0.4,0.75,0.2,0.75,0.5714,0.6667,1.0,0.5,1.0,1.0,0.6667,0.6667,0.7093
4,KNN,0.9167,1.0,1.0,0.4286,0.0,1.0,0.8333,0.75,0.0,1.0,1.0,1.0,1.0,0.5,0.6,0.625,0.0,0.875,0.5714,1.0,1.0,0.5,0.6667,1.0,0.8333,1.0,0.7346
4,Gradient Boosting,0.6667,1.0,1.0,0.4286,0.0,1.0,0.5,0.75,0.0,0.4286,1.0,0.75,0.8,0.625,0.4,0.875,0.4,0.75,0.7143,1.0,1.0,1.0,0.6667,0.8571,1.0,1.0,0.7158
4,MLP Neural Network,0.6667,1.0,1.0,0.5714,0.0,1.0,0.8333,1.0,0.0,0.8571,1.0,1.0,1.0,0.5,0.4,0.875,0.4,0.75,0.8571,1.0,1.0,1.0,0.6667,1.0,0.8333,0.6667,0.7645
4,MLP (PyTorch),0.8333,1.0,1.0,0.4286,0.0,1.0,1.0,1.0,1.0,0.8571,1.0,1.0,0.9,0.875,0.4,1.0,0.4,0.75,0.5714,0.6667,1.0,0.0,1.0,1.0,0.8333,1.0,0.7891
4,CNN (PyTorch),0.75,1.0,1.0,0.4286,0.0,1.0,0.8333,1.0,1.0,0.8571,1.0,1.0,1.0,1.0,0.6,1.0,0.8,0.75,0.8571,1.0,1.0,0.0,1.0,1.0,0.8333,1.0,0.8350
4,Fold_4_Avg,0.7685,0.9815,1.0,0.381,0.0,1.0,0.8148,0.9167,0.2222,0.746,0.9444,0.8889,0.8889,0.6667,0.4667,0.8056,0.3333,0.7639,0.6508,0.8333,1.0,0.6111,0.7778,0.9682,0.8148,0.8519,0.7345
5,SVM,1.0,0.8,0.7143,0.8333,0.2,0.5,1.0,1.0,1.0,0.6154,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,0.5556,0.8,1.0,0.875,1.0,0.9091,1.0,1.0,0.8546
5,Decision Tree,0.1667,0.6,0.8571,0.5,0.0,0.5,1.0,0.5,1.0,0.3077,0.875,1.0,0.6,0.625,0.7143,0.75,1.0,0.5,0.4444,0.6,1.0,0.375,1.0,0.7273,0.875,1.0,0.6738
5,Random Forest,1.0,0.8,0.8571,0.6667,0.6,0.5,1.0,1.0,1.0,0.8462,0.75,1.0,1.0,0.875,1.0,0.875,1.0,0.6667,0.8889,1.0,1.0,0.875,1.0,0.9091,1.0,1.0,0.8888
5,Logistic Regression,1.0,0.8,0.7143,0.5,0.6,0.5,1.0,1.0,1.0,0.5385,0.75,1.0,1.0,1.0,0.7143,0.875,1.0,0.8333,0.7778,0.6,1.0,0.875,1.0,0.9091,1.0,0.5,0.8264
5,KNN,0.6667,0.8,0.8571,0.5,0.6,0.5,1.0,1.0,0.0,0.8462,0.75,1.0,1.0,1.0,1.0,1.0,1.0,0.6667,0.5556,1.0,1.0,0.75,1.0,0.7273,1.0,1.0,0.8161
5,Gradient Boosting,0.8333,0.8,0.8571,0.1667,0.4,1.0,1.0,0.0,1.0,0.6923,0.875,1.0,1.0,0.875,0.2857,0.625,1.0,0.8333,0.7778,0.8,0.5,0.875,1.0,0.8182,1.0,1.0,0.7698
5,MLP Neural Network,1.0,0.8,0.7143,0.5,0.8,0.5,1.0,1.0,1.0,0.7692,0.875,1.0,1.0,1.0,0.7143,0.75,1.0,0.8333,0.8889,1.0,1.0,0.875,1.0,0.8182,1.0,1.0,0.8784
5,MLP (PyTorch),1.0,0.8,0.8571,0.6667,0.8,0.5,1.0,1.0,1.0,0.6923,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.6667,0.8889,0.8,1.0,1.0,1.0,0.9091,1.0,1.0,0.8877
5,CNN (PyTorch),1.0,0.8,0.8571,0.6667,0.8,0.5,1.0,1.0,1.0,0.7692,0.75,1.0,1.0,1.0,1.0,0.75,1.0,0.6667,0.8889,1.0,1.0,0.875,1.0,0.9091,1.0,1.0,0.8936
5,Fold_5_Avg,0.8519,0.7778,0.8095,0.5556,0.5333,0.5556,1.0,0.8333,0.8889,0.6752,0.7917,1.0,0.9556,0.9306,0.8254,0.8194,1.0,0.7037,0.7408,0.8444,0.9444,0.8194,1.0,0.8485,0.9861,0.9444,0.8321
6,SVM,0.8571,0.9167,0.875,0.6667,1.0,0.5,0.8333,1.0,1.0,0.8333,0.875,0.3333,1.0,0.75,0.75,1.0,0.0,0.7778,0.75,1.0,0.3333,0.8889,0.8,0.8333,0.8,1.0,0.7836
6,Decision Tree,0.8571,0.75,0.875,0.3333,0.0,0.5,0.6667,0.5,1.0,0.6667,0.75,0.3333,0.7143,0.625,0.5,0.4286,0.3333,0.6667,0.5,1.0,0.1667,0.5556,0.0,0.6667,0.4,1.0,0.5688
6,Random Forest,0.8571,1.0,0.875,0.6667,0.0,1.0,0.8333,1.0,1.0,0.8333,0.875,0.3333,1.0,0.875,0.75,0.8571,0.3333,0.6667,1.0,1.0,0.3333,0.8889,0.8,0.8333,0.8,1.0,0.7851
6,Logistic Regression,0.8571,0.75,0.875,0.3333,1.0,0.5,0.8333,1.0,1.0,0.8333,0.875,0.0,1.0,0.75,0.75,1.0,0.3333,0.7778,0.75,1.0,0.5,0.8889,0.8,0.6667,0.8,1.0,0.7644
6,KNN,0.8571,0.75,0.875,0.3333,1.0,0.5,0.8333,1.0,1.0,1.0,0.875,0.0,1.0,0.75,0.75,0.7143,0.3333,0.7778,0.75,1.0,0.1667,0.8889,0.8,0.8333,0.8,1.0,0.7534
6,Gradient Boosting,0.8571,1.0,0.875,0.8333,1.0,0.5,0.8333,1.0,1.0,0.8333,0.875,0.0,0.8571,0.625,0.5,0.5714,0.6667,0.7778,1.0,0.8333,0.3333,0.8889,0.6,0.8333,0.8,1.0,0.7651
